session_guid,lap_index,segment_id,start_m,end_m,split_sec
49286453-273d-48c3-a124-51a51221c1f6,0,1,0,651,18.16614310488836
49286453-273d-48c3-a124-51a51221c1f6,0,2,621,918,8.080868131378985
49286453-273d-48c3-a124-51a51221c1f6,0,3,871,1092,6.41375712216912
49286453-273d-48c3-a124-51a51221c1f6,0,4,1092,2282,28.362370599985418
49286453-273d-48c3-a124-51a51221c1f6,0,5,2252,2604,7.632778379540208
49286453-273d-48c3-a124-51a51221c1f6,0,6,2574,3866,31.023121381017674
49286453-273d-48c3-a124-51a51221c1f6,0,7,3836,4203,9.835634335413538
49286453-273d-48c3-a124-51a51221c1f6,0,8,4203,4345,4.159053097649567
49286453-273d-48c3-a124-51a51221c1f6,0,9,4304,4482,3.660076883021224
49286453-273d-48c3-a124-51a51221c1f6,0,10,4482,5255,17.931196964936078
49286453-273d-48c3-a124-51a51221c1f6,1,1,0,651,18.156127157168815
49286453-273d-48c3-a124-51a51221c1f6,1,2,621,918,8.061147977893091
49286453-273d-48c3-a124-51a51221c1f6,1,3,871,1092,6.365804767378218
49286453-273d-48c3-a124-51a51221c1f6,1,4,1092,2282,28.923984041516793
49286453-273d-48c3-a124-51a51221c1f6,1,5,2252,2604,7.7604516827295456
49286453-273d-48c3-a124-51a51221c1f6,1,6,2574,3866,31.499630916056095
49286453-273d-48c3-a124-51a51221c1f6,1,7,3836,4203,10.640535308685092
49286453-273d-48c3-a124-51a51221c1f6,1,8,4203,4345,4.381085409878731
49286453-273d-48c3-a124-51a51221c1f6,1,9,4304,4482,3.964908264471524
49286453-273d-48c3-a124-51a51221c1f6,1,10,4482,5255,18.484324474222298
49286453-273d-48c3-a124-51a51221c1f6,2,1,0,651,18.231937562744903
49286453-273d-48c3-a124-51a51221c1f6,2,2,621,918,8.17029029787323
49286453-273d-48c3-a124-51a51221c1f6,2,3,871,1092,6.467585833412003
49286453-273d-48c3-a124-51a51221c1f6,2,4,1092,2282,28.072999242949855
49286453-273d-48c3-a124-51a51221c1f6,2,5,2252,2604,7.549643590230216
49286453-273d-48c3-a124-51a51221c1f6,2,6,2574,3866,30.70499508201797
49286453-273d-48c3-a124-51a51221c1f6,2,7,3836,4203,9.787695829047312
49286453-273d-48c3-a124-51a51221c1f6,2,8,4203,4345,4.143421344468079
49286453-273d-48c3-a124-51a51221c1f6,2,9,4304,4482,3.6598454661397057
49286453-273d-48c3-a124-51a51221c1f6,2,10,4482,5255,17.865585751116832
49286453-273d-48c3-a124-51a51221c1f6,3,1,0,651,18.156843201917486
49286453-273d-48c3-a124-51a51221c1f6,3,2,621,918,8.016012154011584
49286453-273d-48c3-a124-51a51221c1f6,3,3,871,1092,6.352167954848476
49286453-273d-48c3-a124-51a51221c1f6,3,4,1092,2282,28.163139357782654
49286453-273d-48c3-a124-51a51221c1f6,3,5,2252,2604,7.60419239370976
49286453-273d-48c3-a124-51a51221c1f6,3,6,2574,3866,30.779429267751333
49286453-273d-48c3-a124-51a51221c1f6,3,7,3836,4203,9.856292368847916
49286453-273d-48c3-a124-51a51221c1f6,3,8,4203,4345,4.1601670286542305
49286453-273d-48c3-a124-51a51221c1f6,3,9,4304,4482,3.573644496953037
49286453-273d-48c3-a124-51a51221c1f6,3,10,4482,5255,17.838111775523558
49286453-273d-48c3-a124-51a51221c1f6,4,1,0,651,18.041274781414376
49286453-273d-48c3-a124-51a51221c1f6,4,2,621,918,8.179861196337331
49286453-273d-48c3-a124-51a51221c1f6,4,3,871,1092,6.364493447471627
49286453-273d-48c3-a124-51a51221c1f6,4,4,1092,2282,28.21878578717709
49286453-273d-48c3-a124-51a51221c1f6,4,5,2252,2604,7.680216719534244
49286453-273d-48c3-a124-51a51221c1f6,4,6,2574,3866,31.029930990892638
49286453-273d-48c3-a124-51a51221c1f6,4,7,3836,4203,9.923603664325553
49286453-273d-48c3-a124-51a51221c1f6,4,8,4203,4345,4.115419300630133
49286453-273d-48c3-a124-51a51221c1f6,4,9,4304,4482,3.656081030469316
49286453-273d-48c3-a124-51a51221c1f6,4,10,4482,5255,17.990333081747988
49286453-273d-48c3-a124-51a51221c1f6,5,1,0,651,18.331819999871797
49286453-273d-48c3-a124-51a51221c1f6,5,2,621,918,8.192581295036062
49286453-273d-48c3-a124-51a51221c1f6,5,3,871,1092,6.483270130156162
49286453-273d-48c3-a124-51a51221c1f6,5,4,1092,2282,28.247128610122825
49286453-273d-48c3-a124-51a51221c1f6,5,5,2252,2604,7.679590864440064
49286453-273d-48c3-a124-51a51221c1f6,5,6,2574,3866,31.400546496712618
49286453-273d-48c3-a124-51a51221c1f6,5,7,3836,4203,9.85020250816744
49286453-273d-48c3-a124-51a51221c1f6,5,8,4203,4345,4.162406663120383
49286453-273d-48c3-a124-51a51221c1f6,5,9,4304,4482,3.773928491191928
49286453-273d-48c3-a124-51a51221c1f6,5,10,4482,5255,17.894524941180737
49286453-273d-48c3-a124-51a51221c1f6,6,1,0,651,18.124563123419076
49286453-273d-48c3-a124-51a51221c1f6,6,2,621,918,8.028410708139546
49286453-273d-48c3-a124-51a51221c1f6,6,3,871,1092,6.384412519692328
49286453-273d-48c3-a124-51a51221c1f6,6,4,1092,2282,28.436326575331943
49286453-273d-48c3-a124-51a51221c1f6,6,5,2252,2604,7.656711164755047
